SITE_CODE,SHORT_TITLE,TITLE,SITE_TYPE,SUB_TYPE,STAGE,PROJ_CODE,PROJECT_TITLE,LONGITUDE,LATITUDE,EASTING,NORTHING,MGA_ZONE,COMMODITIES,COMMODITY_GROUP_NAME,TARGET_GROUP_NAME,MAP_LABEL_NAME,INCLUDE_COMMODITY_FLAG,MAP_COMMODITIES,ACTIVE_FLAG,SYMBOL,MAP_SERIES,CONFIDENTIALITY,MAP_SHEET_NO_100K,MAP_SHEET_NAME_100K,MAP_SHEET_NO_250K,MAP_SHEET_NAME_250K,LGA_NAME,DEVELOPMENT_REGION,DISTRICT_NO,DISTRICT_NAME,TECTONIC_UNIT,EXTRACT_DATE
S0031250,Carnarvon South/Sweetman,Carnarvon South / Sweetman,Mine,Openpit,Operating,J04207,Carnarvon Red Sand / Sweetman,113.715727999999999,-24.931906999999999,774261,7239851,49,Sd HM,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,1648,CARNARVON,SG49-04,QUOBBA,"CARNARVON, SHIRE OF","GASCOYNE, Development Region",9,GASCOYNE M.F.,Gascoyne Platform,20191210
S0222917,Canegrass Sand,Canegrass Sand,Mine,Openpit,Operating,J03562,Canegrass Sand,121.096320000000006,-30.204260999999999,316755,6657049,51,Sd Gvl,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,3137,BARDOC,SH51-09,KALGOORLIE,"KALGOORLIE-BOULDER, CITY OF","GOLDFIELDS-ESPERANCE, Development Region",24,BROAD ARROW M.F.,Yilgarn Craton granites,20191210
S0222918,Coondiner HD4 Central,Coondiner HD4 Central,Mine,Openpit,Operating,J00685,Hope Downs Joint Venture,119.539119999999997,-23.133012999999998,760016,7439491,50,Fe,Iron,IRON ORE,,N,,,,,Public,2851,NEWMAN,SF50-16,NEWMAN,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20191210
S0222919,Coondiner HD4 South,Coondiner HD4 South,Mine,Openpit,Operating,J00685,Hope Downs Joint Venture,119.519622999999996,-23.146805000000001,757993,7437998,50,Fe,Iron,IRON ORE,,N,,,,,Public,2851,NEWMAN,SF50-16,NEWMAN,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20191210
S0222920,Coondiner HD4 West,Coondiner HD4 West,Mine,Openpit,Operating,J00685,Hope Downs Joint Venture,119.504035999999999,-23.136219000000001,756416,7439198,50,Fe,Iron,IRON ORE,,N,,,,,Public,2851,NEWMAN,SF50-16,NEWMAN,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20191210
S0222929,Russell Rd Wattleup/Hanson-WA Lmst,Russell Road Wattleup / Hanson-WA Lmst,Mine,Openpit,Operating,J03566,Wattleup - Russell Road / Hanson Construction,115.805925999999999,-32.158245000000001,387404,6441399,50,Sdc Lsd Lst,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2033,FREMANTLE,SI50-02,PINJARRA,"COCKBURN, CITY OF",METRO,70,SOUTH WEST M.F.,Mandurah Terrace,20191210
S0223012,Petra,Petra,Mine,Openpit,Operating,J00009,Duketon / Regis Resources,122.257176000000001,-27.686150999999999,426752,6937343,51,Au Ag,Precious metal,GOLD,,N,,,,,Public,3342,DUKETON,SG51-14,DUKETON,"LAVERTON, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",38,MT. MARGARET,Burtville Terrane,20191210
S0223303,Lot 248 Lakes Road,Pinjarra Sand - Lot 248 Lakes Road,Mine,Openpit,Operating,J03625,Pinjarra Sand / Keilman - Lilyvale Dairy,115.889643000000007,-32.520463999999997,395715,6401329,50,Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2032,PINJARRA,SI50-02,PINJARRA,"MURRAY, SHIRE OF","PEEL, Development Region",70,SOUTH WEST M.F.,Mandurah Terrace,20191210
S0223304,Corio Rd Lot 521/Corio,Corio Road Lot 521 Nambeelup / Corio,Mine,Openpit,Operating,J03626,Pinjarra Sand / Corio Sand,115.888096000000004,-32.565466999999998,395622,6396339,50,Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2032,PINJARRA,SI50-02,PINJARRA,"MURRAY, SHIRE OF","PEEL, Development Region",70,SOUTH WEST M.F.,Mandurah Terrace,20191210
S0223307,Sand,Quairading Sand,Mine,Openpit,Operating,J03630,Quairading Sand,117.400183999999996,-31.999047000000001,537800,6459600,50,Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2334,CUNDERDIN,SH50-15,KELLERBERRIN,"QUAIRADING, SHIRE OF","WHEATBELT, Development Region",70,SOUTH WEST M.F.,Yilgarn Craton granites,20191210
S0223343,Mooka / Pas-Kapitany,Mooka / Pas-Kapitany,Mine,Openpit,Operating,J03634,Mooka Chalcedony (Mookaite) / Pas - Kapitany,114.955511999999999,-24.891109000000000,293481,7245558,50,Mookaite Clc,Precious mineral,GEM & SEMI-PRECIOUS STONES,,N,,,,,Public,1848,BINTHALYA,SG50-01,KENNEDY RANGE,"CARNARVON, SHIRE OF","GASCOYNE, Development Region",9,GASCOYNE M.F.,Gascoyne Platform,20191210
S0223403,Fender,Fender - Mt Webber,Mine,Openpit,Operating,J03641,Mt Webber ,119.298550000000006,-21.543976000000001,738056,7615893,50,Fe,Iron,IRON ORE,Mt Webber,N,,Y,,Operating Mine,Public,2754,TAMBOURAH,SF50-08,MARBLE BAR,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",45,MARBLE BAR,Sulphur Springs Large Igneous Province,20191210
S0223445,Portal,Rubicon-Hornet Underground Portal,Mine,Decline,Operating,J01718,Kundana East,121.260602000000006,-30.744035000000000,333492,6597473,51,Au,Precious metal,GOLD,,N,,,,,Public,3136,KALGOORLIE,SH51-09,KALGOORLIE,"COOLGARDIE, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",15,COOLGARDIE,Eastern Goldfields Superterrane,20191210
S0223460,Bentley,Bentley,Mine,Decline,Operating,J01287,Teutonic Bore - Jaguar,121.169987000000006,-28.483948999999999,320862,6847822,51,Zn Cu Ag Au Pb,Base metal,COPPER - LEAD - ZINC,Bentley,Y,Zn Cu Ag Au Pb,Y,,Operating Mine,Public,3141,WEEBO,SH51-01,LEONORA,"LEONORA, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",37,MT. MALCOLM,Eastern Goldfields Superterrane,20191210
