SITE_CODE,SHORT_TITLE,TITLE,SITE_TYPE,SUB_TYPE,STAGE,PROJ_CODE,PROJECT_TITLE,LONGITUDE,LATITUDE,EASTING,NORTHING,MGA_ZONE,COMMODITIES,COMMODITY_GROUP_NAME,TARGET_GROUP_NAME,MAP_LABEL_NAME,INCLUDE_COMMODITY_FLAG,MAP_COMMODITIES,ACTIVE_FLAG,SYMBOL,MAP_SERIES,CONFIDENTIALITY,MAP_SHEET_NO_100K,MAP_SHEET_NAME_100K,MAP_SHEET_NO_250K,MAP_SHEET_NAME_250K,LGA_NAME,DEVELOPMENT_REGION,DISTRICT_NO,DISTRICT_NAME,TECTONIC_UNIT,EXTRACT_DATE
S0000012,Baneygo,Baneygo,Mine,Openpit,Operating,J00009,Duketon / Regis Resources,122.312500000000000,-27.963343999999999,432379,6906668,51,Au Ag,Precious metal,GOLD,,N,,,,,Public,3342,DUKETON,SG51-14,DUKETON,"LAVERTON, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",38,MT. MARGARET,Eastern Goldfields Superterrane,20191210
S0000033,Big Bell UG,Big Bell Underground,Mine,Decline,Operating,J00017,Cue Gold - Central Murchison,117.655356999999995,-27.318659000000000,564838,6978099,50,Au Ag,Precious metal,GOLD,Big Bell,N,,Y,,Operating Mine,Public,2443,CUE,SG50-15,CUE,"CUE, SHIRE OF","MID-WEST, Development Region",20,CUE,Youanmi Terrane,20191210
S0000045,Aladdin,Aladdin Open Pit,Mine,Openpit,Operating,J00017,Cue Gold - Central Murchison,118.347188000000003,-26.869470000000000,633823,7027311,50,Au Ag,Precious metal,GOLD,,N,,,,,Public,2544,MEEKATHARRA,SG50-11,BELELE,"MEEKATHARRA, SHIRE OF","MID-WEST, Development Region",51,MEEKATHARRA,Youanmi Terrane,20191210
S0000062,Brittania,Brittania - Mt Hampton,Mine,Tailings storage facility,Operating,J00031,Brittania - Mt Hampton,119.064250999999999,-31.833629999999999,695350,6476148,50,Au,Precious metal,GOLD,Brittania Tailings,N,,Y,,Operating Mine,Public,2734,HOLLETON,SH50-16,SOUTHERN CROSS,"YILGARN, SHIRE OF","WHEATBELT, Development Region",77,YILGARN M.F.,Yilgarn Craton granites,20191210
S0000198,Yarlarweelor,Yarlarweelor North & South,Mine,Openpit,Operating,J00109,Fortnum,118.360354000000001,-25.343679000000002,636897,7196301,50,Au Ag,Precious metal,GOLD,Yarlarweelor,N,,Y,,Operating Mine,Public,2547,MILGUN,SG50-07,ROBINSON RANGE,"MEEKATHARRA, SHIRE OF","MID-WEST, Development Region",52,PEAK HILL M.F.,Bryah Basin,20191210
S0000357,Jupiter,Jupiter - Joanne - Doublejay,Mine,Openpit,Operating,J00256,Mt Morgans,122.219286999999994,-28.807189000000001,423817,6813126,51,Au Ag,Precious metal,GOLD,,N,,,,,Public,3340,LAVERTON,SH51-02,LAVERTON,"LAVERTON, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",39,MT. MORGANS,Eastern Goldfields Superterrane,20191210
S0000379,Last Chance E,Last Chance East,Mine,Unspecified,Operating,J00181,Kanowna - Golden Valley,121.601996999999997,-30.594218999999999,365970,6614535,51,Au,Precious metal,GOLD,Last Chance East,N,,Y,,Operating Mine,Public,3236,KANOWNA,SH51-10,KURNALPI,"KALGOORLIE-BOULDER, CITY OF","GOLDFIELDS-ESPERANCE, Development Region",27,KANOWNA,Eastern Goldfields Superterrane,20191210
S0000389,Harrys Hill,Harrys Hill,Mine,Openpit,Operating,J00184,Aldiss - Karonie,122.558027999999993,-31.045010999999999,457826,6565326,51,Au Ag,Precious metal,GOLD,Harrys Hill,N,,Y,,Operating Mine,Public,3435,ERAYINIA,SH51-14,WIDGIEMOOLTHA,"KALGOORLIE-BOULDER, CITY OF","GOLDFIELDS-ESPERANCE, Development Region",28,KURNALPI,Eastern Goldfields Superterrane,20191210
S0000462,Lloyd George,Lloyd George - Gibraltar,Mine,Openpit,Operating,J00218,Gibraltar / Torian,120.967451999999994,-31.040949999999999,306024,6564085,51,Au Ag,Precious metal,GOLD,Lloyd George,N,,Y,,Operating Mine,Public,3035,WOOLGANGIE,SH51-13,BOORABBIN,"COOLGARDIE, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",15,COOLGARDIE,Eastern Goldfields Superterrane,20191210
S0000497,Sabbath,Sabbath,Mine,Openpit,Operating,J00017,Cue Gold - Central Murchison,118.465102999999999,-26.505500999999999,646001,7067500,50,Au Ag,Precious metal,GOLD,Sabbath,N,,Y,,Operating Mine,Public,2544,MEEKATHARRA,SG50-11,BELELE,"MEEKATHARRA, SHIRE OF","MID-WEST, Development Region",51,MEEKATHARRA,Yilgarn Craton granites,20191210
S0000590,Nevoria UG,Nevoria Underground,Mine,Decline,Operating,J00226,Marvel Loch - Southern Cross,119.588401000000005,-31.507265000000000,745825,6511275,50,Au,Precious metal,GOLD,Nevoria,N,,Y,,Operating Mine,Public,2834,CHERITONS FIND,SH50-16,SOUTHERN CROSS,"YILGARN, SHIRE OF","WHEATBELT, Development Region",77,YILGARN M.F.,Youanmi Terrane,20191210
S0000642,Enterprise,Enterprise Open Pit,Mine,Openpit,Operating,J04664,Ora Banda / Norton,121.088414000000000,-30.372122000000001,316307,6638430,51,Au Ag,Precious metal,GOLD,Enterprise,N,,Y,,Operating Mine,Public,3137,BARDOC,SH51-09,KALGOORLIE,"KALGOORLIE-BOULDER, CITY OF","GOLDFIELDS-ESPERANCE, Development Region",24,BROAD ARROW M.F.,Eastern Goldfields Superterrane,20191210
S0000732,Main Dome,Telfer Main Dome,Mine,Openpit,Operating,J00338,Telfer / Newcrest,122.207117999999994,-21.719564999999999,417996,7598002,51,Au Cu Ag,Precious metal,GOLD,Telfer,Y,Au Cu Ag,Y,,Operating Mine,Public,3354,PATERSON,SF51-06,PATERSON RANGE,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",45,MARBLE BAR,Yeneena Basin,20191210
S0000769,Edna May UG,Edna May Underground,Mine,Decline,Operating,J00357,Edna May - Westonia,118.700153999999998,-31.291771000000001,661822,6536815,50,Au Ag Opalc,Precious metal,GOLD,,N,,Y,,Operating Mine,Public,2635,WESTONIA,SH50-16,SOUTHERN CROSS,"WESTONIA, SHIRE OF","WHEATBELT, Development Region",77,YILGARN M.F.,South West Terrane,20191210
S0000770,Edna May,Edna May - Westonia,Mine,Openpit,Operating,J00357,Edna May - Westonia,118.698537999999999,-31.290258000000001,661670,6536985,50,Au W Ag,Precious metal,GOLD,Edna May,N,,Y,,Operating Mine,Public,2635,WESTONIA,SH50-16,SOUTHERN CROSS,"WESTONIA, SHIRE OF","WHEATBELT, Development Region",77,YILGARN M.F.,Yilgarn Craton granites,20191210
S0000776,Bulletin,Bulletin - Wiluna,Mine,Openpit,Operating,J02624,Matilda,120.246696000000000,-26.611450000000001,225834,7053646,51,Au Lst Ag,Precious metal,GOLD,,N,,,,,Public,2944,WILUNA,SG51-09,WILUNA,"WILUNA, SHIRE OF","MID-WEST, Development Region",53,WILUNA,Eastern Goldfields Superterrane,20191210
S0000777,Essex,Essex,Mine,Openpit,Operating,J02624,Matilda,120.242243999999999,-26.622558999999999,225417,7052406,51,Au Ag,Precious metal,GOLD,,N,,,,,Public,2944,WILUNA,SG51-09,WILUNA,"WILUNA, SHIRE OF","MID-WEST, Development Region",53,WILUNA,Eastern Goldfields Superterrane,20191210
S0000778,Happy Jack,Happy Jack - Tirau,Mine,Openpit,Operating,J02624,Matilda,120.239913000000001,-26.618669000000001,225175,7052832,51,Au Ag,Precious metal,GOLD,,N,,,,,Public,2944,WILUNA,SG51-09,WILUNA,"WILUNA, SHIRE OF","MID-WEST, Development Region",53,WILUNA,Eastern Goldfields Superterrane,20191210
S0000811,Anglo Saxon,Anglo Saxon - Trouser Legs,Mine,Openpit,Operating,J00424,Anglo Saxon - Trouser Legs,122.731478999999993,-30.076781000000000,474122,6672676,51,Au Ag,Precious metal,GOLD,Anglo Saxon,N,,Y,,Operating Mine,Public,3437,PINJIN,SH51-10,KURNALPI,"MENZIES, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",31,YERILLA,Eastern Goldfields Superterrane,20191210
S0000847,Great Victoria,Great Victoria - GVG,Mine,Openpit,Operating,J00226,Marvel Loch - Southern Cross,119.573700000000002,-31.544279000000000,744331,6507203,50,Au Ag,Precious metal,GOLD,Great Victoria,N,,Y,,Operating Mine,Public,2834,CHERITONS FIND,SH50-16,SOUTHERN CROSS,"YILGARN, SHIRE OF","WHEATBELT, Development Region",77,YILGARN M.F.,Youanmi Terrane,20191210
S0000880,Mt Charlotte,Mt Charlotte,Mine,Shaft,Operating,J00102,Golden Mile / KCGM,121.480903999999995,-30.746441000000001,354587,6597513,51,Au Ag,Precious metal,GOLD,Mt Charlotte,N,,Y,,Operating Mine,Public,3136,KALGOORLIE,SH51-09,KALGOORLIE,"KALGOORLIE-BOULDER, CITY OF","GOLDFIELDS-ESPERANCE, Development Region",26,EAST COOLGARDIE,Eastern Goldfields Superterrane,20191210
S0000902,Coles,Coles,Mine,Openpit,Operating,J00424,Anglo Saxon - Trouser Legs,122.700126999999995,-30.017965000000000,471083,6679186,51,Au Ag,Precious metal,GOLD,,N,,,,,Public,3437,PINJIN,SH51-10,KURNALPI,"MENZIES, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",31,YERILLA,Eastern Goldfields Superterrane,20191210
S0001007,Wandoo S,Wandoo South,Mine,Openpit,Operating,J00026,Boddington Gold,116.357518999999996,-32.753078000000002,439815,6375904,50,Au Cu As Bi,Precious metal,GOLD,Boddington,Y,Au Cu As Bi,Y,,Operating Mine,Public,2132,DWELLINGUP,SI50-02,PINJARRA,"BODDINGTON, SHIRE OF","PEEL, Development Region",70,SOUTH WEST M.F.,South West Terrane,20191210
S0001063,Mickey Doolan,Mickey Doolan,Mine,Openpit,Operating,J00017,Cue Gold - Central Murchison,118.502775000000000,-26.618099000000001,649609,7054983,50,Au Ag,Precious metal,GOLD,Mickey Doolan,N,,Y,,Operating Mine,Public,2644,GABANINTHA,SG50-12,GLENGARRY,"MEEKATHARRA, SHIRE OF","MID-WEST, Development Region",51,MEEKATHARRA,Youanmi Terrane,20191210
S0001132,Kundana S,Kundana South,Mine,Openpit,Under Development,J00358,Kundana - White Flag,121.236987999999997,-30.706997999999999,331167,6601543,51,Au,Precious metal,GOLD,,N,,,,,Public,3136,KALGOORLIE,SH51-09,KALGOORLIE,"COOLGARDIE, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",16,KUNANALLING,Eastern Goldfields Superterrane,20191210
S0001145,Comet-Pinnacles UG,Comet - Pinnacles Underground,Mine,Decline,Operating,J00017,Cue Gold - Central Murchison,118.043602000000007,-27.540099999999999,603045,6953307,50,Au Ag,Precious metal,GOLD,Comet,N,,Y,,Operating Mine,Public,2542,WYNYANGOO,SG50-15,CUE,"CUE, SHIRE OF","MID-WEST, Development Region",21,DAY DAWN,Youanmi Terrane,20191210
S0001172,George Palmer,George Palmer Pit,Mine,Openpit,Operating,J00446,Sino - Cape Preston Iron,116.141295999999997,-21.081340999999998,410801,7668609,50,Fe Mag,Iron,IRON ORE,Sino - George Palmer,Y,Fe Mag,Y,,Operating Mine,Public,2155,FORTESCUE,SF50-06,YARRALOOLA,"KARRATHA, CITY OF","PILBARA, Development Region",8,ASHBURTON M.F.,Hamersley Basin,20191210
S0001224,Deepdale J,"Deepdale Mesa J Pits 1-12, J Extended",Mine,Openpit,Operating,J00484,Robe River - Deepdale,116.247354000000001,-21.751436999999999,422175,7594496,50,Fe,Iron,IRON ORE,Mesa J - Deepdale,N,,Y,,Operating Mine,Public,2154,PANNAWONICA,SF50-06,YARRALOOLA,"ASHBURTON, SHIRE OF","PILBARA, Development Region",8,ASHBURTON M.F.,Hamersley Basin,20191210
S0001256,Gossan Hill U/G,Gossan Hill Portal,Mine,Decline,Operating,J00527,Golden Grove,116.962406999999999,-28.765087000000001,496330,6818040,50,Cu Zn Pb Ag Au,Base metal,COPPER - LEAD - ZINC,Golden Grove,Y,Cu Zn Pb Ag Au,Y,,Operating Mine,Public,2240,BADJA,SH50-02,YALGOO,"YALGOO, SHIRE OF","MID-WEST, Development Region",59,YALGOO M.F.,Youanmi Terrane,20191210
S0001257,Scuddles U/G,Scuddles Portal,Mine,Decline,Operating,J00527,Golden Grove,116.945103000000003,-28.744567000000000,494640,6820312,50,Zn Pb Cu Ag Au,Base metal,COPPER - LEAD - ZINC,Scuddles,Y,Zn Pb Cu Ag Au,Y,,Operating Mine,Public,2240,BADJA,SH50-02,YALGOO,"YALGOO, SHIRE OF","MID-WEST, Development Region",59,YALGOO M.F.,Youanmi Terrane,20191210
S0001258,Goliath North,Goliath North - Mt Keith Satellite,Mine,Openpit,Under Development,J00756,Mt Keith / BHP Billiton,120.586753999999999,-27.445620000000002,261479,6961890,51,Ni,Steel alloy metal,NICKEL,,N,,,,,Public,3043,MOUNT KEITH,SG51-13,SIR SAMUEL,"LEONORA, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",36,LAWLERS,Eastern Goldfields Superterrane,20191210
S0001300,Lanfranchi,Lanfranchi,Mine,Decline,Under Development,J02900,Lanfranchi Tramways,121.842903000000007,-31.505461000000000,390120,6513798,51,Ni Cu,Steel alloy metal,NICKEL,Lanfranchi,Y,Ni Cu,Y,,Operating Mine,Public,3234,COWAN,SH51-14,WIDGIEMOOLTHA,"COOLGARDIE, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",15,COOLGARDIE,Eastern Goldfields Superterrane,20191210
S0001346,Wheelarra 4,Wheelarra 4,Mine,Openpit,Operating,J00573,Jimblebar-Wheelarra-Hashimoto / BHPB,120.137100000000004,-23.380329000000000,207350,7411473,51,Fe,Iron,IRON ORE,,N,,Y,,Operating Mine,Public,2951,MURRAMUNDA,SF51-13,ROBERTSON,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",52,PEAK HILL M.F.,Hamersley Basin,20191210
S0001375,Cliffs,Cliffs Underground,Mine,Decline,Operating,J00440,Leinster,120.541753000000000,-27.304974000000001,256722,6977390,51,Ni Cu,Steel alloy metal,NICKEL,Cliffs,Y,Ni Cu,Y,,Operating Mine,Public,3043,MOUNT KEITH,SG51-13,SIR SAMUEL,"LEONORA, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",36,LAWLERS,Eastern Goldfields Superterrane,20191210
S0001385,Tom Price,Tom Price Main and Remnants,Mine,Openpit,Operating,J03928,Tom Price / Rio Tinto,117.776094999999998,-22.769347000000000,579672,7481804,50,Fe,Iron,IRON ORE,Tom Price,N,,Y,,Operating Mine,Public,2452,MOUNT LIONEL,SF50-11,MOUNT BRUCE,"ASHBURTON, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20191210
S0001388,Turner Syncline Sec 10,Turner Syncline Section 10,Mine,Openpit,Operating,J00609,Turner Syncline West,117.586303999999998,-22.662210000000002,560234,7493753,50,Fe,Iron,IRON ORE,Western Turner Syncline,N,,Y,,Operating Mine,Public,2452,MOUNT LIONEL,SF50-11,MOUNT BRUCE,"ASHBURTON, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20191210
S0001399,Nammuldi,Nammuldi Lens C,Mine,Openpit,Operating,J03932,Brockman 2 - Nammuldi - Silvergrass - Homestead / Rio Tinto,117.337502000000001,-22.412291000000000,534735,7521498,50,Fe,Iron,IRON ORE,Nammuldi,N,,Y,,Operating Mine,Public,2353,JEERINAH,SF50-11,MOUNT BRUCE,"ASHBURTON, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20191210
S0001402,Mt Whaleback,Mt Whaleback,Mine,Openpit,Operating,J00623,Newman / BHPB,119.675399999999996,-23.365359999999999,773504,7413500,50,Fe,Iron,IRON ORE,Mt Whaleback,N,,Y,,Operating Mine,Public,2851,NEWMAN,SF50-16,NEWMAN,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",52,PEAK HILL M.F.,Hamersley Basin,20191210
S0001405,OB 29,Mt Newman Orebody 29,Mine,Openpit,Operating,J00623,Newman / BHPB,119.703795999999997,-23.382259000000001,776373,7411573,50,Fe,Iron,IRON ORE,,N,,,,,Public,2851,NEWMAN,SF50-16,NEWMAN,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",52,PEAK HILL M.F.,Hamersley Basin,20191210
S0001413,18E,Paraburdoo 18 East,Mine,Openpit,Operating,J03930,Paraburdoo / Rio Tinto,117.631302000000005,-23.255649999999999,564575,7428038,50,Fe,Iron,IRON ORE,,N,,,,,Public,2451,PARABURDOO,SF50-15,TUREE CREEK,"ASHBURTON, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20191210
S0001441,Wonnerup South,Wonnerup South Main Pit,Mine,Openpit,Operating,J01034,Bunbury Area Operations / Cristal,115.415251999999995,-33.670986999999997,353083,6273197,50,HM Ilm Leu Zrn,Speciality metal,HEAVY MINERAL SANDS,Wonnerup,Y,HM Ilm Leu Zrn,Y,,Operating Mine,Public,1930,BUSSELTON,SI50-05,BUSSELTON,"BUSSELTON, CITY OF","SOUTH WEST, Development Region",70,SOUTH WEST M.F.,Bunbury Trough,20191210
S0001455,Silvergrass Pit 4,Silvergrass Pit 4,Mine,Openpit,Operating,J03932,Brockman 2 - Nammuldi - Silvergrass - Homestead / Rio Tinto,117.303539000000001,-22.317757000000000,531261,7531970,50,Fe,Iron,IRON ORE,Silvergrass,N,,Y,,Operating Mine,Public,2353,JEERINAH,SF50-11,MOUNT BRUCE,"ASHBURTON, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20191210
S0001456,Six Mile Well,Six Mile Well - Mt Keith Satellite,Mine,Openpit,Under Development,J00756,Mt Keith / BHP Billiton,120.578239999999994,-27.422664000000001,260588,6964418,51,Ni,Steel alloy metal,NICKEL,,N,,,,,Public,3043,MOUNT KEITH,SG51-13,SIR SAMUEL,"LEONORA, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",36,LAWLERS,Eastern Goldfields Superterrane,20191210
S0001471,HD1 SC,Hope Downs 1 South Central,Mine,Openpit,Operating,J00685,Hope Downs Joint Venture,119.107343999999998,-22.998670000000001,716000,7455075,50,Fe,Iron,IRON ORE,,N,,,,,Public,2752,WEELI WOLLI,SF50-12,ROY HILL,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20191210
S0001488,Wonnerup North,Wonnerup North,Mine,Openpit,Operating,J01034,Bunbury Area Operations / Cristal,115.464073999999997,-33.651778000000000,357577,6275395,50,HM Ilm Zrn Leu Mnz,Speciality metal,HEAVY MINERAL SANDS,,N,,Y,,Operating Mine,Public,1930,BUSSELTON,SI50-05,BUSSELTON,"BUSSELTON, CITY OF","SOUTH WEST, Development Region",70,SOUTH WEST M.F.,Bunbury Trough,20191210
S0001534,23E,Paraburdoo 23 East,Mine,Openpit,Operating,J03930,Paraburdoo / Rio Tinto,117.653998999999999,-23.248840000000001,566900,7428782,50,Fe,Iron,IRON ORE,,N,,,,,Public,2451,PARABURDOO,SF50-15,TUREE CREEK,"ASHBURTON, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20191210
S0001583,Rockys Reward Pit,Rockys Reward Openpit,Mine,Openpit,Operating,J00440,Leinster,120.697197000000003,-27.791439000000000,273113,6923774,51,Ni Cu,Steel alloy metal,NICKEL,Rockys Reward,Y,Ni Cu,Y,,Operating Mine,Public,3042,SIR SAMUEL,SG51-13,SIR SAMUEL,"LEONORA, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",36,LAWLERS,Eastern Goldfields Superterrane,20191210
S0001585,Perseverance UG,Perseverance  Underground,Mine,Decline,Operating,J00440,Leinster,120.705596999999997,-27.818118999999999,273997,6920833,51,Ni Cu Gsp,Steel alloy metal,NICKEL,,N,,,,,Public,3042,SIR SAMUEL,SG51-13,SIR SAMUEL,"LEONORA, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",36,LAWLERS,Eastern Goldfields Superterrane,20191210
S0001587,Pit 3 - Central,Brockman 4 - Pit 3 Central,Mine,Openpit,Operating,J03931,Brockman 4 Area / Rio Tinto,117.213319999999996,-22.598789000000000,521925,7500877,50,Fe,Iron,IRON ORE,Brockman 4,N,,Y,,Operating Mine,Public,2352,ROCKLEA,SF50-11,MOUNT BRUCE,"ASHBURTON, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20191210
S0001590,84E,Paraburdoo 84 East (Pits 1-5),Mine,Openpit,Operating,J00481,Channar,117.822800000000001,-23.302509000000001,584134,7422752,50,Fe,Iron,IRON ORE,Channar,N,,Y,,Operating Mine,Public,2451,PARABURDOO,SF50-15,TUREE CREEK,"ASHBURTON, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20191210
S0001592,Mesa A,Deepdale Mesa A Pits 1-8,Mine,Openpit,Operating,J00484,Robe River - Deepdale,115.886497000000006,-21.672581000000001,384796,7602999,50,Fe,Iron,IRON ORE,Mesa A,N,,Y,,Operating Mine,Public,2054,YARRALOOLA,SF50-06,YARRALOOLA,"ASHBURTON, SHIRE OF","PILBARA, Development Region",8,ASHBURTON M.F.,Ashburton Basin,20191210
S0001597,Coondiner HD4 East,Coondiner HD4 East,Mine,Openpit,Operating,J00685,Hope Downs Joint Venture,119.574358000000004,-23.145752000000002,763602,7438017,50,Fe,Iron,IRON ORE,Hope Downs 4,N,,Y,,Operating Mine,Public,2851,NEWMAN,SF50-16,NEWMAN,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20191210
S0001607,MAC C West,MAC - Deposit C West Pit,Mine,Openpit,Operating,J00576,Mining Area C,118.962601000000006,-22.929849999999998,701261,7462902,50,Fe,Iron,IRON ORE,,N,,,,,Public,2652,MUNJINA,SF50-12,ROY HILL,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20191210
S0001608,MAC D,MAC - Deposit D,Mine,Openpit,Operating,J00576,Mining Area C,118.943200000000004,-22.933430999999999,699266,7462532,50,Fe,Iron,IRON ORE,,N,,,,,Public,2652,MUNJINA,SF50-12,ROY HILL,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20191210
S0001609,MAC E East,MAC - Deposit E East Pit,Mine,Openpit,Operating,J00576,Mining Area C,118.927299000000005,-22.932541000000001,697636,7462652,50,Fe,Iron,IRON ORE,MAC-E,N,,Y,,Operating Mine,Public,2652,MUNJINA,SF50-12,ROY HILL,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20191210
S0001610,MAC F,MAC - Deposit F,Mine,Openpit,Operating,J00576,Mining Area C,118.875742000000002,-22.941724000000001,692335,7461704,50,Fe,Iron,IRON ORE,,N,,,,,Public,2652,MUNJINA,SF50-12,ROY HILL,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20191210
S0001624,South Flank,MAC - South Flank,Mine,Openpit,Under Development,J00576,Mining Area C,118.923302000000007,-22.998671000000002,697130,7455334,50,Fe,Iron,IRON ORE,South Flank,N,,Y,,Operating Mine,Public,2652,MUNJINA,SF50-12,ROY HILL,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20191210
S0001632,OB 25 - Pit 3,Mt Newman Orebody 25 - Pit 3,Mine,Openpit,Operating,J00623,Newman / BHPB,119.818297999999999,-23.329950000000000,788197,7417145,50,Fe,Iron,IRON ORE,Newman Orebody 24-25,N,,Y,,Operating Mine,Public,2851,NEWMAN,SF50-16,NEWMAN,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",52,PEAK HILL M.F.,Hamersley Basin,20191210
S0001634,OB 18 Main,Mt Newman Orebody 18 Main - Shovelanna Hill,Mine,Openpit,Operating,J00623,Newman / BHPB,120.042019999999994,-23.333314999999999,197518,7416487,51,Fe,Iron,IRON ORE,Orebody 18,N,,Y,,Operating Mine,Public,2951,MURRAMUNDA,SF51-13,ROBERTSON,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",52,PEAK HILL M.F.,Hamersley Basin,20191210
S0001639,OB 24 E,Mt Newman Orebody 24 East,Mine,Openpit,Operating,J00623,Newman / BHPB,119.810799000000003,-23.304199000000001,787485,7420013,50,Fe,Iron,IRON ORE,,N,,,,,Public,2851,NEWMAN,SF50-16,NEWMAN,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20191210
S0001642,OB 30,Mt Newman Orebody 30,Mine,Openpit,Operating,J00623,Newman / BHPB,119.662327000000005,-23.377238999999999,772143,7412209,50,Fe,Iron,IRON ORE,,N,,,,,Public,2851,NEWMAN,SF50-16,NEWMAN,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",52,PEAK HILL M.F.,Hamersley Basin,20191210
S0001643,OB 35,Mt Newman Orebody 35,Mine,Openpit,Operating,J00623,Newman / BHPB,119.657302999999999,-23.389650000000000,771603,7410843,50,Fe,Iron,IRON ORE,"Orebody 29, 30, 35",N,,Y,,Operating Mine,Public,2851,NEWMAN,SF50-16,NEWMAN,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",52,PEAK HILL M.F.,Hamersley Basin,20191210
S0001646,64E,Paraburdoo 64 East,Mine,Openpit,Operating,J00481,Channar,117.774497999999994,-23.303319999999999,579194,7422690,50,Fe,Iron,IRON ORE,,N,,,,,Public,2451,PARABURDOO,SF50-15,TUREE CREEK,"ASHBURTON, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20191210
S0001667,Mt Keith,Mt Keith Open Pit,Mine,Openpit,Operating,J00756,Mt Keith / BHP Billiton,120.541740000000004,-27.229599000000000,256557,6985744,51,Ni,Steel alloy metal,NICKEL,Mt Keith,Y,Ni,Y,,Operating Mine,Public,3043,MOUNT KEITH,SG51-13,SIR SAMUEL,"WILUNA, SHIRE OF","MID-WEST, Development Region",53,WILUNA,Eastern Goldfields Superterrane,20191210
S0001709,CLD,Central Lanthanide (CLD),Mine,Openpit,Operating,J00772,Mt Weld REE / Lynas,122.547565000000006,-28.863980000000002,455875,6807000,51,REE Ce La Nd Sm Gd Eu Y,Speciality metal,RARE EARTHS,Mt Weld,Y,REE Ce La Nd Sm Gd Eu Y,Y,,Operating Mine,Public,3440,BURTVILLE,SH51-02,LAVERTON,"LAVERTON, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",38,MT. MARGARET,Large igneous provinces and dyke swarms,20191210
S0001726,Boddington Bauxite,Boddington Bauxite,Mine,Openpit,Operating,J00776,Worsley,116.455901999999995,-32.931561000000002,449133,6356168,50,Bx,Alumina,BAUXITE - ALUMINA,Boddington,N,,Y,,Operating Mine,Public,2132,DWELLINGUP,SI50-02,PINJARRA,"BODDINGTON, SHIRE OF","PEEL, Development Region",70,SOUTH WEST M.F.,South West Terrane,20191210
S0001731,Greenbushes Central Lode Pit,Greenbushes C3 Spodumene,Mine,Openpit,Operating,J04090,Greenbushes Lithium,116.065793999999997,-33.858919999999998,413584,6253094,50,Li Li2O Ta Sn,Speciality metal,TIN - TANTALUM - LITHIUM,Greenbushes,Y,Li Li2O Ta Sn,Y,,Operating Mine,Public,2130,BRIDGETOWN,SI50-06,COLLIE,"BRIDGETOWN-GREENBUSHES, SHIRE OF","SOUTH WEST, Development Region",1,GREENBUSHES M.F.,South West Terrane,20191210
